event_number,track_id,step_number,x,y,z,ux,uy,uz,angle,step_length,track_length,E_kin,E_dep
0,1,0,0.000,0.000,0.000,-0.933,0.297,0.203,0.000,0.000,0.000,1000.000,0.000
0,1,1,-0.044,0.014,0.010,-0.939,0.287,0.191,0.958,0.047,0.047,999.639,0.361
0,1,2,-0.806,0.247,0.165,-0.841,0.015,0.542,26.013,0.827,0.875,994.527,1.495
0,1,3,-1.627,0.262,0.694,-0.834,0.087,0.545,23.871,1.000,1.875,987.515,7.012
0,1,4,-2.441,0.347,1.227,-0.773,0.120,0.622,27.899,1.000,2.875,983.367,4.148
0,1,5,-3.197,0.465,1.834,-0.721,0.091,0.687,32.964,1.000,3.875,979.813,3.554
0,1,6,-3.900,0.553,2.505,-0.754,0.027,0.656,32.317,1.000,4.875,976.273,3.539
0,1,7,-4.637,0.579,3.146,-0.793,0.293,0.535,20.736,1.000,5.875,963.070,13.203
0,1,8,-5.411,0.865,3.667,-0.439,0.619,0.651,43.427,1.000,6.875,955.236,7.834
0,1,9,-5.839,1.469,4.302,-0.443,0.523,0.728,44.213,1.000,7.875,953.646,1.590
0,1,10,-6.271,1.980,5.012,-0.147,0.561,0.815,62.012,1.000,8.875,952.829,0.817
0,1,11,-6.415,2.527,5.807,-0.235,0.433,0.870,58.368,1.000,9.875,937.232,15.597
0,1,12,-6.643,2.949,6.655,0.467,-0.861,0.202,130.564,1.000,10.875,931.093,6.139
0,1,13,-6.188,2.110,6.852,0.173,-0.702,0.691,103.271,1.000,11.875,928.241,2.852
0,1,14,-6.020,1.426,7.525,-0.047,-0.795,0.605,93.966,1.000,12.875,921.960,6.281
0,1,15,-6.066,0.652,8.115,-0.058,-0.978,0.199,101.314,1.000,13.875,915.364,6.595
0,1,16,-6.123,-0.301,8.309,-0.225,-0.950,0.214,91.661,1.000,14.875,908.168,7.196
0,1,17,-6.342,-1.227,8.518,0.104,-0.970,0.218,109.955,1.000,15.875,904.464,3.705
0,1,18,-6.241,-2.171,8.730,0.253,-0.899,0.359,115.481,1.000,16.875,898.328,6.136
